fold,train_size,test_size,date_start,date_end,mae,rmse,r2,test_mean,test_std,cv
1,1104,192,2026-01-12,2026-01-14,522.0045510355632,965.2059114494193,0.8651375508118472,4688.411510416667,2635.16845241921,0.5620599741648997
2,1296,192,2026-01-14,2026-01-16,822.111388397217,1245.1679502265783,0.7079875054967284,4084.4558854166667,2310.2615349239036,0.5656228393046354
3,1488,192,2026-01-16,2026-01-18,598.7477842712403,960.4254291431009,0.7240336150044142,3571.6641145833332,1833.0296451547001,0.5132144530809386
4,1680,192,2026-01-18,2026-01-20,459.78582249959305,759.2897700941721,0.874827340359788,3657.877760416666,2151.7248689973007,0.5882440611553403
5,1872,192,2026-01-20,2026-01-22,369.8605059814453,763.5739530177339,0.9116946207536692,4224.581770833333,2576.2704731364993,0.6098285257307988
